KO	GO	GO_term
K02319	GO:0003887	DNA-directed DNA polymerase activity
K02322	GO:0003887	DNA-directed DNA polymerase activity
K02322	GO:0003887	DNA-directed DNA polymerase activity
K02322	GO:0003887	DNA-directed DNA polymerase activity
K02322	GO:0003887	DNA-directed DNA polymerase activity
K02322	GO:0003887	DNA-directed DNA polymerase activity
K02322	GO:0003887	DNA-directed DNA polymerase activity
K02322	GO:0003887	DNA-directed DNA polymerase activity
K02322	GO:0003887	DNA-directed DNA polymerase activity
K02322	GO:0003887	DNA-directed DNA polymerase activity
K02322	GO:0003887	DNA-directed DNA polymerase activity
K02322	GO:0003887	DNA-directed DNA polymerase activity
K02322	GO:0003887	DNA-directed DNA polymerase activity
K02322	GO:0003887	DNA-directed DNA polymerase activity
K02322	GO:0003887	DNA-directed DNA polymerase activity
K02322	GO:0003887	DNA-directed DNA polymerase activity
K02322	GO:0003887	DNA-directed DNA polymerase activity
K02322	GO:0003887	DNA-directed DNA polymerase activity
K02322	GO:0003887	DNA-directed DNA polymerase activity
K02322	GO:0003887	DNA-directed DNA polymerase activity
K02322	GO:0003887	DNA-directed DNA polymerase activity
K02323	GO:0003887	DNA-directed DNA polymerase activity
K02323	GO:0003887	DNA-directed DNA polymerase activity
K02323	GO:0003887	DNA-directed DNA polymerase activity
K02323	GO:0003887	DNA-directed DNA polymerase activity
K02323	GO:0003887	DNA-directed DNA polymerase activity
K02323	GO:0003887	DNA-directed DNA polymerase activity
K02323	GO:0003887	DNA-directed DNA polymerase activity
K02323	GO:0003887	DNA-directed DNA polymerase activity
K02323	GO:0003887	DNA-directed DNA polymerase activity
K02323	GO:0003887	DNA-directed DNA polymerase activity
K02323	GO:0003887	DNA-directed DNA polymerase activity
K02323	GO:0003887	DNA-directed DNA polymerase activity
K02323	GO:0003887	DNA-directed DNA polymerase activity
K02323	GO:0003887	DNA-directed DNA polymerase activity
K02323	GO:0003887	DNA-directed DNA polymerase activity
K02323	GO:0003887	DNA-directed DNA polymerase activity
K02323	GO:0003887	DNA-directed DNA polymerase activity
K02323	GO:0003887	DNA-directed DNA polymerase activity
K02323	GO:0003887	DNA-directed DNA polymerase activity
K02323	GO:0003887	DNA-directed DNA polymerase activity
K02324	GO:0003887	DNA-directed DNA polymerase activity
K02324	GO:0003887	DNA-directed DNA polymerase activity
K02324	GO:0003887	DNA-directed DNA polymerase activity
K02324	GO:0003887	DNA-directed DNA polymerase activity
K02324	GO:0003887	DNA-directed DNA polymerase activity
K02324	GO:0003887	DNA-directed DNA polymerase activity
K02324	GO:0003887	DNA-directed DNA polymerase activity
K02324	GO:0003887	DNA-directed DNA polymerase activity
K02324	GO:0003887	DNA-directed DNA polymerase activity
K02324	GO:0003887	DNA-directed DNA polymerase activity
K02324	GO:0003887	DNA-directed DNA polymerase activity
K02324	GO:0003887	DNA-directed DNA polymerase activity
K02324	GO:0003887	DNA-directed DNA polymerase activity
K02324	GO:0003887	DNA-directed DNA polymerase activity
K02324	GO:0003887	DNA-directed DNA polymerase activity
K02324	GO:0003887	DNA-directed DNA polymerase activity
K02324	GO:0003887	DNA-directed DNA polymerase activity
K02324	GO:0003887	DNA-directed DNA polymerase activity
K02324	GO:0003887	DNA-directed DNA polymerase activity
K02324	GO:0003887	DNA-directed DNA polymerase activity
K02325	GO:0003887	DNA-directed DNA polymerase activity
K02325	GO:0003887	DNA-directed DNA polymerase activity
K02325	GO:0003887	DNA-directed DNA polymerase activity
K02325	GO:0003887	DNA-directed DNA polymerase activity
K02325	GO:0003887	DNA-directed DNA polymerase activity
K02325	GO:0003887	DNA-directed DNA polymerase activity
K02325	GO:0003887	DNA-directed DNA polymerase activity
K02325	GO:0003887	DNA-directed DNA polymerase activity
K02325	GO:0003887	DNA-directed DNA polymerase activity
K02325	GO:0003887	DNA-directed DNA polymerase activity
K02325	GO:0003887	DNA-directed DNA polymerase activity
K02325	GO:0003887	DNA-directed DNA polymerase activity
K02325	GO:0003887	DNA-directed DNA polymerase activity
K02325	GO:0003887	DNA-directed DNA polymerase activity
K02325	GO:0003887	DNA-directed DNA polymerase activity
K02325	GO:0003887	DNA-directed DNA polymerase activity
K02325	GO:0003887	DNA-directed DNA polymerase activity
K02325	GO:0003887	DNA-directed DNA polymerase activity
K02325	GO:0003887	DNA-directed DNA polymerase activity
K02325	GO:0003887	DNA-directed DNA polymerase activity
K02326	GO:0003887	DNA-directed DNA polymerase activity
K02326	GO:0003887	DNA-directed DNA polymerase activity
K02326	GO:0003887	DNA-directed DNA polymerase activity
K02326	GO:0003887	DNA-directed DNA polymerase activity
K02326	GO:0003887	DNA-directed DNA polymerase activity
K02326	GO:0003887	DNA-directed DNA polymerase activity
K02326	GO:0003887	DNA-directed DNA polymerase activity
K02326	GO:0003887	DNA-directed DNA polymerase activity
K02326	GO:0003887	DNA-directed DNA polymerase activity
K02326	GO:0003887	DNA-directed DNA polymerase activity
K02326	GO:0003887	DNA-directed DNA polymerase activity
K02326	GO:0003887	DNA-directed DNA polymerase activity
K02326	GO:0003887	DNA-directed DNA polymerase activity
K02326	GO:0003887	DNA-directed DNA polymerase activity
K02326	GO:0003887	DNA-directed DNA polymerase activity
K02326	GO:0003887	DNA-directed DNA polymerase activity
K02326	GO:0003887	DNA-directed DNA polymerase activity
K02326	GO:0003887	DNA-directed DNA polymerase activity
K02326	GO:0003887	DNA-directed DNA polymerase activity
K02326	GO:0003887	DNA-directed DNA polymerase activity
K02327	GO:0003887	DNA-directed DNA polymerase activity
K02327	GO:0003887	DNA-directed DNA polymerase activity
K02327	GO:0003887	DNA-directed DNA polymerase activity
K02327	GO:0003887	DNA-directed DNA polymerase activity
K02327	GO:0003887	DNA-directed DNA polymerase activity
K02327	GO:0003887	DNA-directed DNA polymerase activity
K02327	GO:0003887	DNA-directed DNA polymerase activity
K02327	GO:0003887	DNA-directed DNA polymerase activity
K02327	GO:0003887	DNA-directed DNA polymerase activity
K02327	GO:0003887	DNA-directed DNA polymerase activity
K02327	GO:0003887	DNA-directed DNA polymerase activity
K02327	GO:0003887	DNA-directed DNA polymerase activity
K02327	GO:0003887	DNA-directed DNA polymerase activity
K02327	GO:0003887	DNA-directed DNA polymerase activity
K02327	GO:0003887	DNA-directed DNA polymerase activity
K02327	GO:0003887	DNA-directed DNA polymerase activity
K02327	GO:0003887	DNA-directed DNA polymerase activity
K02327	GO:0003887	DNA-directed DNA polymerase activity
K02327	GO:0003887	DNA-directed DNA polymerase activity
K02327	GO:0003887	DNA-directed DNA polymerase activity
K02330	GO:0003887	DNA-directed DNA polymerase activity
K02330	GO:0003887	DNA-directed DNA polymerase activity
K02330	GO:0003887	DNA-directed DNA polymerase activity
K02330	GO:0003887	DNA-directed DNA polymerase activity
K02330	GO:0003887	DNA-directed DNA polymerase activity
K02330	GO:0003887	DNA-directed DNA polymerase activity
K02330	GO:0003887	DNA-directed DNA polymerase activity
K02330	GO:0003887	DNA-directed DNA polymerase activity
K02330	GO:0003887	DNA-directed DNA polymerase activity
K02330	GO:0003887	DNA-directed DNA polymerase activity
K02330	GO:0003887	DNA-directed DNA polymerase activity
K02330	GO:0003887	DNA-directed DNA polymerase activity
K02330	GO:0003887	DNA-directed DNA polymerase activity
K02330	GO:0003887	DNA-directed DNA polymerase activity
K02330	GO:0003887	DNA-directed DNA polymerase activity
K02330	GO:0003887	DNA-directed DNA polymerase activity
K02330	GO:0003887	DNA-directed DNA polymerase activity
K02330	GO:0003887	DNA-directed DNA polymerase activity
K02330	GO:0003887	DNA-directed DNA polymerase activity
K02330	GO:0003887	DNA-directed DNA polymerase activity
K02332	GO:0003887	DNA-directed DNA polymerase activity
K02332	GO:0003887	DNA-directed DNA polymerase activity
K02332	GO:0003887	DNA-directed DNA polymerase activity
K02332	GO:0003887	DNA-directed DNA polymerase activity
K02332	GO:0003887	DNA-directed DNA polymerase activity
K02332	GO:0003887	DNA-directed DNA polymerase activity
K02332	GO:0003887	DNA-directed DNA polymerase activity
K02332	GO:0003887	DNA-directed DNA polymerase activity
K02332	GO:0003887	DNA-directed DNA polymerase activity
K02332	GO:0003887	DNA-directed DNA polymerase activity
K02332	GO:0003887	DNA-directed DNA polymerase activity
K02332	GO:0003887	DNA-directed DNA polymerase activity
K02332	GO:0003887	DNA-directed DNA polymerase activity
K02332	GO:0003887	DNA-directed DNA polymerase activity
K02332	GO:0003887	DNA-directed DNA polymerase activity
K02332	GO:0003887	DNA-directed DNA polymerase activity
K02332	GO:0003887	DNA-directed DNA polymerase activity
K02332	GO:0003887	DNA-directed DNA polymerase activity
K02332	GO:0003887	DNA-directed DNA polymerase activity
K02332	GO:0003887	DNA-directed DNA polymerase activity
K02334	GO:0003887	DNA-directed DNA polymerase activity
K02334	GO:0003887	DNA-directed DNA polymerase activity
K02334	GO:0003887	DNA-directed DNA polymerase activity
K02334	GO:0003887	DNA-directed DNA polymerase activity
K02334	GO:0003887	DNA-directed DNA polymerase activity
K02334	GO:0003887	DNA-directed DNA polymerase activity
K02334	GO:0003887	DNA-directed DNA polymerase activity
K02334	GO:0003887	DNA-directed DNA polymerase activity
K02334	GO:0003887	DNA-directed DNA polymerase activity
K02334	GO:0003887	DNA-directed DNA polymerase activity
K02334	GO:0003887	DNA-directed DNA polymerase activity
K02334	GO:0003887	DNA-directed DNA polymerase activity
K02334	GO:0003887	DNA-directed DNA polymerase activity
K02334	GO:0003887	DNA-directed DNA polymerase activity
K02334	GO:0003887	DNA-directed DNA polymerase activity
K02334	GO:0003887	DNA-directed DNA polymerase activity
K02334	GO:0003887	DNA-directed DNA polymerase activity
K02334	GO:0003887	DNA-directed DNA polymerase activity
K02334	GO:0003887	DNA-directed DNA polymerase activity
K02334	GO:0003887	DNA-directed DNA polymerase activity
K02335	GO:0003887	DNA-directed DNA polymerase activity
K02335	GO:0003887	DNA-directed DNA polymerase activity
K02335	GO:0003887	DNA-directed DNA polymerase activity
K02335	GO:0003887	DNA-directed DNA polymerase activity
K02335	GO:0003887	DNA-directed DNA polymerase activity
K02335	GO:0003887	DNA-directed DNA polymerase activity
K02335	GO:0003887	DNA-directed DNA polymerase activity
K02335	GO:0003887	DNA-directed DNA polymerase activity
K02335	GO:0003887	DNA-directed DNA polymerase activity
K02335	GO:0003887	DNA-directed DNA polymerase activity
K02335	GO:0003887	DNA-directed DNA polymerase activity
K02335	GO:0003887	DNA-directed DNA polymerase activity
K02335	GO:0003887	DNA-directed DNA polymerase activity
K02335	GO:0003887	DNA-directed DNA polymerase activity
K02335	GO:0003887	DNA-directed DNA polymerase activity
K02335	GO:0003887	DNA-directed DNA polymerase activity
K02335	GO:0003887	DNA-directed DNA polymerase activity
K02335	GO:0003887	DNA-directed DNA polymerase activity
K02335	GO:0003887	DNA-directed DNA polymerase activity
K02335	GO:0003887	DNA-directed DNA polymerase activity
K02336	GO:0003887	DNA-directed DNA polymerase activity
K02336	GO:0003887	DNA-directed DNA polymerase activity
K02336	GO:0003887	DNA-directed DNA polymerase activity
K02336	GO:0003887	DNA-directed DNA polymerase activity
K02336	GO:0003887	DNA-directed DNA polymerase activity
K02336	GO:0003887	DNA-directed DNA polymerase activity
K02336	GO:0003887	DNA-directed DNA polymerase activity
K02336	GO:0003887	DNA-directed DNA polymerase activity
K02336	GO:0003887	DNA-directed DNA polymerase activity
K02336	GO:0003887	DNA-directed DNA polymerase activity
K02336	GO:0003887	DNA-directed DNA polymerase activity
K02336	GO:0003887	DNA-directed DNA polymerase activity
K02336	GO:0003887	DNA-directed DNA polymerase activity
K02336	GO:0003887	DNA-directed DNA polymerase activity
K02336	GO:0003887	DNA-directed DNA polymerase activity
K02336	GO:0003887	DNA-directed DNA polymerase activity
K02336	GO:0003887	DNA-directed DNA polymerase activity
K02336	GO:0003887	DNA-directed DNA polymerase activity
K02336	GO:0003887	DNA-directed DNA polymerase activity
K02336	GO:0003887	DNA-directed DNA polymerase activity
K02337	GO:0003887	DNA-directed DNA polymerase activity
K02337	GO:0003887	DNA-directed DNA polymerase activity
K02337	GO:0003887	DNA-directed DNA polymerase activity
K02337	GO:0003887	DNA-directed DNA polymerase activity
K02337	GO:0003887	DNA-directed DNA polymerase activity
K02337	GO:0003887	DNA-directed DNA polymerase activity
K02337	GO:0003887	DNA-directed DNA polymerase activity
K02337	GO:0003887	DNA-directed DNA polymerase activity
K02337	GO:0003887	DNA-directed DNA polymerase activity
K02337	GO:0003887	DNA-directed DNA polymerase activity
K02337	GO:0003887	DNA-directed DNA polymerase activity
K02337	GO:0003887	DNA-directed DNA polymerase activity
K02337	GO:0003887	DNA-directed DNA polymerase activity
K02337	GO:0003887	DNA-directed DNA polymerase activity
K02337	GO:0003887	DNA-directed DNA polymerase activity
K02337	GO:0003887	DNA-directed DNA polymerase activity
K02337	GO:0003887	DNA-directed DNA polymerase activity
K02337	GO:0003887	DNA-directed DNA polymerase activity
K02337	GO:0003887	DNA-directed DNA polymerase activity
K02337	GO:0003887	DNA-directed DNA polymerase activity
K02338	GO:0003887	DNA-directed DNA polymerase activity
K02338	GO:0003887	DNA-directed DNA polymerase activity
K02338	GO:0003887	DNA-directed DNA polymerase activity
K02338	GO:0003887	DNA-directed DNA polymerase activity
K02338	GO:0003887	DNA-directed DNA polymerase activity
K02338	GO:0003887	DNA-directed DNA polymerase activity
K02338	GO:0003887	DNA-directed DNA polymerase activity
K02338	GO:0003887	DNA-directed DNA polymerase activity
K02338	GO:0003887	DNA-directed DNA polymerase activity
K02338	GO:0003887	DNA-directed DNA polymerase activity
K02338	GO:0003887	DNA-directed DNA polymerase activity
K02338	GO:0003887	DNA-directed DNA polymerase activity
K02338	GO:0003887	DNA-directed DNA polymerase activity
K02338	GO:0003887	DNA-directed DNA polymerase activity
K02338	GO:0003887	DNA-directed DNA polymerase activity
K02338	GO:0003887	DNA-directed DNA polymerase activity
K02338	GO:0003887	DNA-directed DNA polymerase activity
K02338	GO:0003887	DNA-directed DNA polymerase activity
K02338	GO:0003887	DNA-directed DNA polymerase activity
K02338	GO:0003887	DNA-directed DNA polymerase activity
K02339	GO:0003887	DNA-directed DNA polymerase activity
K02339	GO:0003887	DNA-directed DNA polymerase activity
K02339	GO:0003887	DNA-directed DNA polymerase activity
K02339	GO:0003887	DNA-directed DNA polymerase activity
K02339	GO:0003887	DNA-directed DNA polymerase activity
K02339	GO:0003887	DNA-directed DNA polymerase activity
K02339	GO:0003887	DNA-directed DNA polymerase activity
K02339	GO:0003887	DNA-directed DNA polymerase activity
K02339	GO:0003887	DNA-directed DNA polymerase activity
K02339	GO:0003887	DNA-directed DNA polymerase activity
K02339	GO:0003887	DNA-directed DNA polymerase activity
K02339	GO:0003887	DNA-directed DNA polymerase activity
K02339	GO:0003887	DNA-directed DNA polymerase activity
K02339	GO:0003887	DNA-directed DNA polymerase activity
K02339	GO:0003887	DNA-directed DNA polymerase activity
K02339	GO:0003887	DNA-directed DNA polymerase activity
K02339	GO:0003887	DNA-directed DNA polymerase activity
K02339	GO:0003887	DNA-directed DNA polymerase activity
K02339	GO:0003887	DNA-directed DNA polymerase activity
K02339	GO:0003887	DNA-directed DNA polymerase activity
K02340	GO:0003887	DNA-directed DNA polymerase activity
K02340	GO:0003887	DNA-directed DNA polymerase activity
K02340	GO:0003887	DNA-directed DNA polymerase activity
K02340	GO:0003887	DNA-directed DNA polymerase activity
K02340	GO:0003887	DNA-directed DNA polymerase activity
K02340	GO:0003887	DNA-directed DNA polymerase activity
K02340	GO:0003887	DNA-directed DNA polymerase activity
K02340	GO:0003887	DNA-directed DNA polymerase activity
K02340	GO:0003887	DNA-directed DNA polymerase activity
K02340	GO:0003887	DNA-directed DNA polymerase activity
K02340	GO:0003887	DNA-directed DNA polymerase activity
K02340	GO:0003887	DNA-directed DNA polymerase activity
K02340	GO:0003887	DNA-directed DNA polymerase activity
K02340	GO:0003887	DNA-directed DNA polymerase activity
K02340	GO:0003887	DNA-directed DNA polymerase activity
K02340	GO:0003887	DNA-directed DNA polymerase activity
K02340	GO:0003887	DNA-directed DNA polymerase activity
K02340	GO:0003887	DNA-directed DNA polymerase activity
K02340	GO:0003887	DNA-directed DNA polymerase activity
K02340	GO:0003887	DNA-directed DNA polymerase activity
K02341	GO:0003887	DNA-directed DNA polymerase activity
K02341	GO:0003887	DNA-directed DNA polymerase activity
K02341	GO:0003887	DNA-directed DNA polymerase activity
K02341	GO:0003887	DNA-directed DNA polymerase activity
K02341	GO:0003887	DNA-directed DNA polymerase activity
K02341	GO:0003887	DNA-directed DNA polymerase activity
K02341	GO:0003887	DNA-directed DNA polymerase activity
K02341	GO:0003887	DNA-directed DNA polymerase activity
K02341	GO:0003887	DNA-directed DNA polymerase activity
K02341	GO:0003887	DNA-directed DNA polymerase activity
K02341	GO:0003887	DNA-directed DNA polymerase activity
K02341	GO:0003887	DNA-directed DNA polymerase activity
K02341	GO:0003887	DNA-directed DNA polymerase activity
K02341	GO:0003887	DNA-directed DNA polymerase activity
K02341	GO:0003887	DNA-directed DNA polymerase activity
K02341	GO:0003887	DNA-directed DNA polymerase activity
K02341	GO:0003887	DNA-directed DNA polymerase activity
K02341	GO:0003887	DNA-directed DNA polymerase activity
K02341	GO:0003887	DNA-directed DNA polymerase activity
K02341	GO:0003887	DNA-directed DNA polymerase activity
K02342	GO:0003887	DNA-directed DNA polymerase activity
K02342	GO:0003887	DNA-directed DNA polymerase activity
K02342	GO:0003887	DNA-directed DNA polymerase activity
K02342	GO:0003887	DNA-directed DNA polymerase activity
K02342	GO:0003887	DNA-directed DNA polymerase activity
K02342	GO:0003887	DNA-directed DNA polymerase activity
K02342	GO:0003887	DNA-directed DNA polymerase activity
K02342	GO:0003887	DNA-directed DNA polymerase activity
K02342	GO:0003887	DNA-directed DNA polymerase activity
K02342	GO:0003887	DNA-directed DNA polymerase activity
K02342	GO:0003887	DNA-directed DNA polymerase activity
K02342	GO:0003887	DNA-directed DNA polymerase activity
K02342	GO:0003887	DNA-directed DNA polymerase activity
K02342	GO:0003887	DNA-directed DNA polymerase activity
K02342	GO:0003887	DNA-directed DNA polymerase activity
K02342	GO:0003887	DNA-directed DNA polymerase activity
K02342	GO:0003887	DNA-directed DNA polymerase activity
K02342	GO:0003887	DNA-directed DNA polymerase activity
K02342	GO:0003887	DNA-directed DNA polymerase activity
K02342	GO:0003887	DNA-directed DNA polymerase activity
K02343	GO:0003887	DNA-directed DNA polymerase activity
K02343	GO:0003887	DNA-directed DNA polymerase activity
K02343	GO:0003887	DNA-directed DNA polymerase activity
K02343	GO:0003887	DNA-directed DNA polymerase activity
K02343	GO:0003887	DNA-directed DNA polymerase activity
K02343	GO:0003887	DNA-directed DNA polymerase activity
K02343	GO:0003887	DNA-directed DNA polymerase activity
K02343	GO:0003887	DNA-directed DNA polymerase activity
K02343	GO:0003887	DNA-directed DNA polymerase activity
K02343	GO:0003887	DNA-directed DNA polymerase activity
K02343	GO:0003887	DNA-directed DNA polymerase activity
K02343	GO:0003887	DNA-directed DNA polymerase activity
K02343	GO:0003887	DNA-directed DNA polymerase activity
K02343	GO:0003887	DNA-directed DNA polymerase activity
K02343	GO:0003887	DNA-directed DNA polymerase activity
K02343	GO:0003887	DNA-directed DNA polymerase activity
K02343	GO:0003887	DNA-directed DNA polymerase activity
K02343	GO:0003887	DNA-directed DNA polymerase activity
K02343	GO:0003887	DNA-directed DNA polymerase activity
K02343	GO:0003887	DNA-directed DNA polymerase activity
K02344	GO:0003887	DNA-directed DNA polymerase activity
K02344	GO:0003887	DNA-directed DNA polymerase activity
K02344	GO:0003887	DNA-directed DNA polymerase activity
K02344	GO:0003887	DNA-directed DNA polymerase activity
K02344	GO:0003887	DNA-directed DNA polymerase activity
K02344	GO:0003887	DNA-directed DNA polymerase activity
K02344	GO:0003887	DNA-directed DNA polymerase activity
K02344	GO:0003887	DNA-directed DNA polymerase activity
K02344	GO:0003887	DNA-directed DNA polymerase activity
K02344	GO:0003887	DNA-directed DNA polymerase activity
K02344	GO:0003887	DNA-directed DNA polymerase activity
K02344	GO:0003887	DNA-directed DNA polymerase activity
K02344	GO:0003887	DNA-directed DNA polymerase activity
K02344	GO:0003887	DNA-directed DNA polymerase activity
K02344	GO:0003887	DNA-directed DNA polymerase activity
K02344	GO:0003887	DNA-directed DNA polymerase activity
K02344	GO:0003887	DNA-directed DNA polymerase activity
K02344	GO:0003887	DNA-directed DNA polymerase activity
K02344	GO:0003887	DNA-directed DNA polymerase activity
K02344	GO:0003887	DNA-directed DNA polymerase activity
K02345	GO:0003887	DNA-directed DNA polymerase activity
K02345	GO:0003887	DNA-directed DNA polymerase activity
K02345	GO:0003887	DNA-directed DNA polymerase activity
K02345	GO:0003887	DNA-directed DNA polymerase activity
K02345	GO:0003887	DNA-directed DNA polymerase activity
K02345	GO:0003887	DNA-directed DNA polymerase activity
K02345	GO:0003887	DNA-directed DNA polymerase activity
K02345	GO:0003887	DNA-directed DNA polymerase activity
K02345	GO:0003887	DNA-directed DNA polymerase activity
K02345	GO:0003887	DNA-directed DNA polymerase activity
K02345	GO:0003887	DNA-directed DNA polymerase activity
K02345	GO:0003887	DNA-directed DNA polymerase activity
K02345	GO:0003887	DNA-directed DNA polymerase activity
K02345	GO:0003887	DNA-directed DNA polymerase activity
K02345	GO:0003887	DNA-directed DNA polymerase activity
K02345	GO:0003887	DNA-directed DNA polymerase activity
K02345	GO:0003887	DNA-directed DNA polymerase activity
K02345	GO:0003887	DNA-directed DNA polymerase activity
K02345	GO:0003887	DNA-directed DNA polymerase activity
K02345	GO:0003887	DNA-directed DNA polymerase activity
K02346	GO:0003887	DNA-directed DNA polymerase activity
K02346	GO:0003887	DNA-directed DNA polymerase activity
K02346	GO:0003887	DNA-directed DNA polymerase activity
K02346	GO:0003887	DNA-directed DNA polymerase activity
K02346	GO:0003887	DNA-directed DNA polymerase activity
K02346	GO:0003887	DNA-directed DNA polymerase activity
K02346	GO:0003887	DNA-directed DNA polymerase activity
K02346	GO:0003887	DNA-directed DNA polymerase activity
K02346	GO:0003887	DNA-directed DNA polymerase activity
K02346	GO:0003887	DNA-directed DNA polymerase activity
K02346	GO:0003887	DNA-directed DNA polymerase activity
K02346	GO:0003887	DNA-directed DNA polymerase activity
K02346	GO:0003887	DNA-directed DNA polymerase activity
K02346	GO:0003887	DNA-directed DNA polymerase activity
K02346	GO:0003887	DNA-directed DNA polymerase activity
K02346	GO:0003887	DNA-directed DNA polymerase activity
K02346	GO:0003887	DNA-directed DNA polymerase activity
K02346	GO:0003887	DNA-directed DNA polymerase activity
K02346	GO:0003887	DNA-directed DNA polymerase activity
K02346	GO:0003887	DNA-directed DNA polymerase activity
K02355	GO:0003746	translation elongation factor activity
K02355	GO:0003746	translation elongation factor activity
K02355	GO:0003746	translation elongation factor activity
K02355	GO:0003746	translation elongation factor activity
K02355	GO:0003746	translation elongation factor activity
K02355	GO:0003746	translation elongation factor activity
K02355	GO:0003746	translation elongation factor activity
K02356	GO:0003746	translation elongation factor activity
K02356	GO:0003746	translation elongation factor activity
K02356	GO:0003746	translation elongation factor activity
K02356	GO:0003746	translation elongation factor activity
K02356	GO:0003746	translation elongation factor activity
K02356	GO:0003746	translation elongation factor activity
K02356	GO:0003746	translation elongation factor activity
K02357	GO:0003746	translation elongation factor activity
K02357	GO:0003746	translation elongation factor activity
K02357	GO:0003746	translation elongation factor activity
K02357	GO:0003746	translation elongation factor activity
K02357	GO:0003746	translation elongation factor activity
K02357	GO:0003746	translation elongation factor activity
K02357	GO:0003746	translation elongation factor activity
K02358	GO:0003746	translation elongation factor activity
K02358	GO:0003746	translation elongation factor activity
K02358	GO:0003746	translation elongation factor activity
K02358	GO:0003746	translation elongation factor activity
K02358	GO:0003746	translation elongation factor activity
K02358	GO:0003746	translation elongation factor activity
K02358	GO:0003746	translation elongation factor activity
K02371	GO:0004318	enoyl-[acyl-carrier-protein] reductase (NADH) activity
K02374	GO:0004725	protein tyrosine phosphatase activity
K02374	GO:0004725	protein tyrosine phosphatase activity
K02374	GO:0004725	protein tyrosine phosphatase activity
K02374	GO:0004725	protein tyrosine phosphatase activity
K02374	GO:0004725	protein tyrosine phosphatase activity
K02374	GO:0004725	protein tyrosine phosphatase activity
K02405	GO:0016987	sigma factor activity
K02405	GO:0016987	sigma factor activity
K02405	GO:0016987	sigma factor activity
K02405	GO:0016987	sigma factor activity
K02405	GO:0016987	sigma factor activity
K02425	GO:0016989	sigma factor antagonist activity
K02446	GO:0042132	fructose 1,6-bisphosphate 1-phosphatase activity
K02446	GO:0042132	fructose 1,6-bisphosphate 1-phosphatase activity
K02469	GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity
K02469	GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity
K02469	GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity
K02469	GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity
K02470	GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity
K02470	GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity
K02470	GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity
K02470	GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity
K02475	GO:0000156	phosphorelay response regulator activity
K02475	GO:0000156	phosphorelay response regulator activity
K02476	GO:0000155	phosphorelay sensor kinase activity
K02476	GO:0000155	phosphorelay sensor kinase activity
K02476	GO:0000155	phosphorelay sensor kinase activity
K02476	GO:0000155	phosphorelay sensor kinase activity
K02476	GO:0000155	phosphorelay sensor kinase activity
K02476	GO:0000155	phosphorelay sensor kinase activity
K02476	GO:0000155	phosphorelay sensor kinase activity
K02476	GO:0000155	phosphorelay sensor kinase activity
K02476	GO:0000155	phosphorelay sensor kinase activity
K02476	GO:0000155	phosphorelay sensor kinase activity
K02477	GO:0000156	phosphorelay response regulator activity
K02477	GO:0000156	phosphorelay response regulator activity
K02478	GO:0000155	phosphorelay sensor kinase activity
K02478	GO:0000155	phosphorelay sensor kinase activity
K02478	GO:0000155	phosphorelay sensor kinase activity
K02478	GO:0000155	phosphorelay sensor kinase activity
K02478	GO:0000155	phosphorelay sensor kinase activity
K02478	GO:0000155	phosphorelay sensor kinase activity
K02478	GO:0000155	phosphorelay sensor kinase activity
K02478	GO:0000155	phosphorelay sensor kinase activity
K02478	GO:0000155	phosphorelay sensor kinase activity
K02478	GO:0000155	phosphorelay sensor kinase activity
K02479	GO:0000156	phosphorelay response regulator activity
K02479	GO:0000156	phosphorelay response regulator activity
K02480	GO:0000155	phosphorelay sensor kinase activity
K02480	GO:0000155	phosphorelay sensor kinase activity
K02480	GO:0000155	phosphorelay sensor kinase activity
K02480	GO:0000155	phosphorelay sensor kinase activity
K02480	GO:0000155	phosphorelay sensor kinase activity
K02480	GO:0000155	phosphorelay sensor kinase activity
K02480	GO:0000155	phosphorelay sensor kinase activity
K02480	GO:0000155	phosphorelay sensor kinase activity
K02480	GO:0000155	phosphorelay sensor kinase activity
K02480	GO:0000155	phosphorelay sensor kinase activity
K02481	GO:0000156	phosphorelay response regulator activity
K02481	GO:0000156	phosphorelay response regulator activity
K02482	GO:0000155	phosphorelay sensor kinase activity
K02482	GO:0000155	phosphorelay sensor kinase activity
K02482	GO:0000155	phosphorelay sensor kinase activity
K02482	GO:0000155	phosphorelay sensor kinase activity
K02482	GO:0000155	phosphorelay sensor kinase activity
K02482	GO:0000155	phosphorelay sensor kinase activity
K02482	GO:0000155	phosphorelay sensor kinase activity
K02482	GO:0000155	phosphorelay sensor kinase activity
K02482	GO:0000155	phosphorelay sensor kinase activity
K02482	GO:0000155	phosphorelay sensor kinase activity
K02483	GO:0000156	phosphorelay response regulator activity
K02483	GO:0000156	phosphorelay response regulator activity
