KO	Module	Module_desc
K18533	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
K18533	M00050	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP
K18533	M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP
K18533	M00053	Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP
K18533	M00938	Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP
K00944	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
K01951	M00050	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP
K00942	M00050	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP
K11540	M00051	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP
K11541	M00051	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP
K01465	M00051	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP
K01465	M00051	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP
K01954	M00051	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP
K01955	M00051	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP
K01956	M00051	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP
K00609	M00051	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP
K00610	M00051	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP
K00608	M00051	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP
K00226	M00051	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP
K00254	M00051	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP
K17828	M00051	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP
K13421	M00051	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP
K00762	M00051	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP
K01591	M00051	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP
K13800	M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP
K09903	M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP
K01937	M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP
K00525	M00053	Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP
K00525	M00938	Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP
K00526	M00053	Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP
K00526	M00938	Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP
K10807	M00053	Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP
K10807	M00938	Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP
K10808	M00053	Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP
K10808	M00938	Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP
K01001	M00055	N-glycan precursor biosynthesis
K03842	M00055	N-glycan precursor biosynthesis
K03843	M00055	N-glycan precursor biosynthesis
K03844	M00055	N-glycan precursor biosynthesis
K03845	M00055	N-glycan precursor biosynthesis
K03846	M00055	N-glycan precursor biosynthesis
K03846	M00055	N-glycan precursor biosynthesis
K03847	M00055	N-glycan precursor biosynthesis
K00729	M00055	N-glycan precursor biosynthesis
K03848	M00055	N-glycan precursor biosynthesis
K03849	M00055	N-glycan precursor biosynthesis
K03850	M00055	N-glycan precursor biosynthesis
K00727	M00056	O-glycan biosynthesis, mucin type core
K09663	M00056	O-glycan biosynthesis, mucin type core
K00734	M00057	Glycosaminoglycan biosynthesis, linkage tetrasaccharide
K02369	M00059	Glycosaminoglycan biosynthesis, heparan sulfate backbone
K01793	M00059	Glycosaminoglycan biosynthesis, heparan sulfate backbone
K00677	M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type
K00677	M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type
K02535	M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type
K02535	M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type
K02536	M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type
K02536	M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type
K03269	M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type
K03269	M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type
K09949	M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type
K09949	M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type
K02527	M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type
K02527	M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type
K02517	M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type
K02517	M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type
K02560	M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type
K01812	M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P
K01812	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P
K00040	M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P
K01686	M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P
K08323	M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P
K00874	M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P
K00874	M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P
K00874	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P
K17463	M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P
K17463	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P
K06041	M00063	CMP-KDO biosynthesis
K01627	M00063	CMP-KDO biosynthesis
K03270	M00063	CMP-KDO biosynthesis
K00979	M00063	CMP-KDO biosynthesis
K03271	M00064	ADP-L-glycero-D-manno-heptose biosynthesis
K03272	M00064	ADP-L-glycero-D-manno-heptose biosynthesis
K03272	M00064	ADP-L-glycero-D-manno-heptose biosynthesis
K21344	M00064	ADP-L-glycero-D-manno-heptose biosynthesis
K03273	M00064	ADP-L-glycero-D-manno-heptose biosynthesis
K21345	M00064	ADP-L-glycero-D-manno-heptose biosynthesis
K03274	M00064	ADP-L-glycero-D-manno-heptose biosynthesis
K03857	M00065	GPI-anchor biosynthesis, core oligosaccharide
K03859	M00065	GPI-anchor biosynthesis, core oligosaccharide
K03858	M00065	GPI-anchor biosynthesis, core oligosaccharide
K03861	M00065	GPI-anchor biosynthesis, core oligosaccharide
K03860	M00065	GPI-anchor biosynthesis, core oligosaccharide
K03434	M00065	GPI-anchor biosynthesis, core oligosaccharide
K05283	M00065	GPI-anchor biosynthesis, core oligosaccharide
K07541	M00065	GPI-anchor biosynthesis, core oligosaccharide
K07542	M00065	GPI-anchor biosynthesis, core oligosaccharide
K05285	M00065	GPI-anchor biosynthesis, core oligosaccharide
K05310	M00065	GPI-anchor biosynthesis, core oligosaccharide
K00720	M00066	Lactosylceramide biosynthesis
K04628	M00067	Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid
K01019	M00067	Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid
K01988	M00068	Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer
K07819	M00070	Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer
K07969	M00071	Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer
K07151	M00072	N-glycosylation by oligosaccharyltransferase
K12666	M00072	N-glycosylation by oligosaccharyltransferase
K12669	M00072	N-glycosylation by oligosaccharyltransferase
K12670	M00072	N-glycosylation by oligosaccharyltransferase
K00730	M00072	N-glycosylation by oligosaccharyltransferase
K01228	M00073	N-glycan precursor trimming
K05546	M00073	N-glycan precursor trimming
K05546	M00074	N-glycan biosynthesis, high-mannose type
K23741	M00073	N-glycan precursor trimming
K23741	M00074	N-glycan biosynthesis, high-mannose type
K01230	M00073	N-glycan precursor trimming
K01230	M00074	N-glycan biosynthesis, high-mannose type
K05528	M00074	N-glycan biosynthesis, high-mannose type
K05529	M00074	N-glycan biosynthesis, high-mannose type
K05529	M00074	N-glycan biosynthesis, high-mannose type
K05530	M00074	N-glycan biosynthesis, high-mannose type
K05532	M00074	N-glycan biosynthesis, high-mannose type
K05533	M00074	N-glycan biosynthesis, high-mannose type
K05534	M00074	N-glycan biosynthesis, high-mannose type
K05535	M00074	N-glycan biosynthesis, high-mannose type
K01231	M00075	N-glycan biosynthesis, complex type
K00736	M00075	N-glycan biosynthesis, complex type
K00737	M00075	N-glycan biosynthesis, complex type
K01136	M00076	Dermatan sulfate degradation
K01136	M00078	Heparan sulfate degradation
K01217	M00076	Dermatan sulfate degradation
K01217	M00078	Heparan sulfate degradation
K01135	M00076	Dermatan sulfate degradation
K01135	M00077	Chondroitin sulfate degradation
K01132	M00077	Chondroitin sulfate degradation
K01132	M00079	Keratan sulfate degradation
K07964	M00078	Heparan sulfate degradation
K07965	M00078	Heparan sulfate degradation
K01565	M00078	Heparan sulfate degradation
K10532	M00078	Heparan sulfate degradation
K01205	M00078	Heparan sulfate degradation
K01137	M00078	Heparan sulfate degradation
K01137	M00079	Keratan sulfate degradation
K12309	M00079	Keratan sulfate degradation
K12373	M00079	Keratan sulfate degradation
K01051	M00081	Pectin degradation
K01184	M00081	Pectin degradation
K01213	M00081	Pectin degradation
K11262	M00082	Fatty acid biosynthesis, initiation
K11262	M00874	Fatty acid biosynthesis in mitochondria, fungi
K02160	M00082	Fatty acid biosynthesis, initiation
K02160	M00376	3-Hydroxypropionate bi-cycle
K01961	M00082	Fatty acid biosynthesis, initiation
K01961	M00376	3-Hydroxypropionate bi-cycle
K11263	M00082	Fatty acid biosynthesis, initiation
K11263	M00741	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA
K01962	M00082	Fatty acid biosynthesis, initiation
K01962	M00376	3-Hydroxypropionate bi-cycle
K01963	M00082	Fatty acid biosynthesis, initiation
K01963	M00376	3-Hydroxypropionate bi-cycle
K18472	M00082	Fatty acid biosynthesis, initiation
K18472	M00741	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA
K00665	M00082	Fatty acid biosynthesis, initiation
K00665	M00083	Fatty acid biosynthesis, elongation
K00667	M00082	Fatty acid biosynthesis, initiation
K00667	M00083	Fatty acid biosynthesis, elongation
K00668	M00082	Fatty acid biosynthesis, initiation
K00668	M00083	Fatty acid biosynthesis, elongation
K11533	M00082	Fatty acid biosynthesis, initiation
K11533	M00083	Fatty acid biosynthesis, elongation
K00645	M00082	Fatty acid biosynthesis, initiation
K00645	M00873	Fatty acid biosynthesis in mitochondria, animals
K00645	M00874	Fatty acid biosynthesis in mitochondria, fungi
K00648	M00082	Fatty acid biosynthesis, initiation
K18473	M00082	Fatty acid biosynthesis, initiation
K00647	M00083	Fatty acid biosynthesis, elongation
K00647	M00572	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP
K09458	M00083	Fatty acid biosynthesis, elongation
K09458	M00572	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP
K09458	M00873	Fatty acid biosynthesis in mitochondria, animals
K09458	M00874	Fatty acid biosynthesis in mitochondria, fungi
K00059	M00083	Fatty acid biosynthesis, elongation
K00059	M00572	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP
K00059	M00874	Fatty acid biosynthesis in mitochondria, fungi
K02372	M00083	Fatty acid biosynthesis, elongation
K02372	M00572	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP
K01716	M00083	Fatty acid biosynthesis, elongation
K16363	M00083	Fatty acid biosynthesis, elongation
K16363	M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type
K00208	M00083	Fatty acid biosynthesis, elongation
K00208	M00572	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP
K02371	M00083	Fatty acid biosynthesis, elongation
K10780	M00083	Fatty acid biosynthesis, elongation
K00209	M00083	Fatty acid biosynthesis, elongation
K07509	M00085	Fatty acid elongation in mitochondria
K07509	M00087	beta-Oxidation
K07512	M00085	Fatty acid elongation in mitochondria
K07512	M00873	Fatty acid biosynthesis in mitochondria, animals
K07512	M00874	Fatty acid biosynthesis in mitochondria, fungi
K01897	M00086	beta-Oxidation, acyl-CoA synthesis
K15013	M00086	beta-Oxidation, acyl-CoA synthesis
K00255	M00087	beta-Oxidation
K06445	M00087	beta-Oxidation
K09479	M00087	beta-Oxidation
K01692	M00087	beta-Oxidation
K01692	M00878	Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA
K01692	M00957	Lysine degradation, bacteria, L-lysine => glutarate => succinate/acetyl-CoA
K13767	M00087	beta-Oxidation
K07516	M00087	beta-Oxidation
K01825	M00087	beta-Oxidation
K01825	M00957	Lysine degradation, bacteria, L-lysine => glutarate => succinate/acetyl-CoA
K01825	M00957	Lysine degradation, bacteria, L-lysine => glutarate => succinate/acetyl-CoA
K01782	M00087	beta-Oxidation
K01782	M00957	Lysine degradation, bacteria, L-lysine => glutarate => succinate/acetyl-CoA
K01782	M00957	Lysine degradation, bacteria, L-lysine => glutarate => succinate/acetyl-CoA
K10527	M00087	beta-Oxidation
K10527	M00113	Jasmonic acid biosynthesis
K00632	M00087	beta-Oxidation
K07513	M00087	beta-Oxidation
K07513	M00113	Jasmonic acid biosynthesis
K07513	M00861	beta-Oxidation, peroxisome, VLCFA
K00626	M00088	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
K00626	M00095	C5 isoprenoid biosynthesis, mevalonate pathway
K00626	M00373	Ethylmalonyl pathway
K00626	M00374	Dicarboxylate-hydroxybutyrate cycle
K00626	M00375	Hydroxypropionate-hydroxybutylate cycle
K00626	M00849	C5 isoprenoid biosynthesis, mevalonate pathway, archaea
K00626	M00957	Lysine degradation, bacteria, L-lysine => glutarate => succinate/acetyl-CoA
K01641	M00088	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
K01641	M00095	C5 isoprenoid biosynthesis, mevalonate pathway
K01641	M00849	C5 isoprenoid biosynthesis, mevalonate pathway, archaea
K00019	M00088	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
K01574	M00088	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
K00629	M00089	Triacylglycerol biosynthesis
K13506	M00089	Triacylglycerol biosynthesis
K13507	M00089	Triacylglycerol biosynthesis
K00630	M00089	Triacylglycerol biosynthesis
K13508	M00089	Triacylglycerol biosynthesis
K00655	M00089	Triacylglycerol biosynthesis
K13509	M00089	Triacylglycerol biosynthesis
K13523	M00089	Triacylglycerol biosynthesis
K13513	M00089	Triacylglycerol biosynthesis
K13517	M00089	Triacylglycerol biosynthesis
K13519	M00089	Triacylglycerol biosynthesis
K14674	M00089	Triacylglycerol biosynthesis
K14674	M00098	Acylglycerol degradation
K22831	M00089	Triacylglycerol biosynthesis
K01080	M00089	Triacylglycerol biosynthesis
K15728	M00089	Triacylglycerol biosynthesis
K18693	M00089	Triacylglycerol biosynthesis
K11155	M00089	Triacylglycerol biosynthesis
K11160	M00089	Triacylglycerol biosynthesis
K14456	M00089	Triacylglycerol biosynthesis
K22848	M00089	Triacylglycerol biosynthesis
K22849	M00089	Triacylglycerol biosynthesis
K00866	M00090	Phosphatidylcholine (PC) biosynthesis, choline => PC
K14156	M00090	Phosphatidylcholine (PC) biosynthesis, choline => PC
K14156	M00092	Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE
K00968	M00090	Phosphatidylcholine (PC) biosynthesis, choline => PC
K00994	M00090	Phosphatidylcholine (PC) biosynthesis, choline => PC
K13644	M00090	Phosphatidylcholine (PC) biosynthesis, choline => PC
K13644	M00092	Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE
K00551	M00091	Phosphatidylcholine (PC) biosynthesis, PE => PC
K16369	M00091	Phosphatidylcholine (PC) biosynthesis, PE => PC
K00550	M00091	Phosphatidylcholine (PC) biosynthesis, PE => PC
K00570	M00091	Phosphatidylcholine (PC) biosynthesis, PE => PC
K00894	M00092	Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE
K00967	M00092	Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE
K00993	M00092	Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE
K00981	M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE
K00998	M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE
K17103	M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE
K00654	M00094	Ceramide biosynthesis
K00654	M00099	Sphingosine biosynthesis
K04709	M00094	Ceramide biosynthesis
K04709	M00099	Sphingosine biosynthesis
K04710	M00094	Ceramide biosynthesis
K04710	M00099	Sphingosine biosynthesis
K04712	M00094	Ceramide biosynthesis
K04712	M00099	Sphingosine biosynthesis
K00021	M00095	C5 isoprenoid biosynthesis, mevalonate pathway
K00021	M00849	C5 isoprenoid biosynthesis, mevalonate pathway, archaea
K00869	M00095	C5 isoprenoid biosynthesis, mevalonate pathway
K00869	M00849	C5 isoprenoid biosynthesis, mevalonate pathway, archaea
K00938	M00095	C5 isoprenoid biosynthesis, mevalonate pathway
K13273	M00095	C5 isoprenoid biosynthesis, mevalonate pathway
K01597	M00095	C5 isoprenoid biosynthesis, mevalonate pathway
K01823	M00095	C5 isoprenoid biosynthesis, mevalonate pathway
K01823	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
K01823	M00364	C10-C20 isoprenoid biosynthesis, bacteria
K01823	M00365	C10-C20 isoprenoid biosynthesis, archaea
K01823	M00366	C10-C20 isoprenoid biosynthesis, plants
K01823	M00367	C10-C20 isoprenoid biosynthesis, non-plant eukaryotes
K01823	M00849	C5 isoprenoid biosynthesis, mevalonate pathway, archaea
K01662	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
K00099	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
K00991	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
K12506	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
K12506	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
K00919	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
K01770	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
K03526	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
K03527	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
K02291	M00097	beta-Carotene biosynthesis, GGAP => beta-carotene
K02293	M00097	beta-Carotene biosynthesis, GGAP => beta-carotene
K15744	M00097	beta-Carotene biosynthesis, GGAP => beta-carotene
K00514	M00097	beta-Carotene biosynthesis, GGAP => beta-carotene
K09835	M00097	beta-Carotene biosynthesis, GGAP => beta-carotene
K06443	M00097	beta-Carotene biosynthesis, GGAP => beta-carotene
K01046	M00098	Acylglycerol degradation
K12298	M00098	Acylglycerol degradation
K16816	M00098	Acylglycerol degradation
K14075	M00098	Acylglycerol degradation
K14452	M00098	Acylglycerol degradation
K14675	M00098	Acylglycerol degradation
K17900	M00098	Acylglycerol degradation
K01054	M00098	Acylglycerol degradation
K01441	M00099	Sphingosine biosynthesis
K12348	M00099	Sphingosine biosynthesis
K12349	M00099	Sphingosine biosynthesis
K04718	M00100	Sphingosine degradation
K01634	M00100	Sphingosine degradation
K00801	M00101	Cholesterol biosynthesis, FPP => cholesterol
K00801	M00102	Ergocalciferol biosynthesis, FPP => ergosterol/ergocalciferol
K01852	M00101	Cholesterol biosynthesis, FPP => cholesterol
K01852	M00102	Ergocalciferol biosynthesis, FPP => ergosterol/ergocalciferol
K05917	M00101	Cholesterol biosynthesis, FPP => cholesterol
K05917	M00102	Ergocalciferol biosynthesis, FPP => ergosterol/ergocalciferol
K05917	M00917	Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol
K00222	M00101	Cholesterol biosynthesis, FPP => cholesterol
K00222	M00102	Ergocalciferol biosynthesis, FPP => ergosterol/ergocalciferol
K00222	M00917	Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol
K19532	M00101	Cholesterol biosynthesis, FPP => cholesterol
K07750	M00101	Cholesterol biosynthesis, FPP => cholesterol
K07750	M00102	Ergocalciferol biosynthesis, FPP => ergosterol/ergocalciferol
K07748	M00101	Cholesterol biosynthesis, FPP => cholesterol
K07748	M00102	Ergocalciferol biosynthesis, FPP => ergosterol/ergocalciferol
K13373	M00101	Cholesterol biosynthesis, FPP => cholesterol
K09828	M00101	Cholesterol biosynthesis, FPP => cholesterol
K09828	M00917	Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol
K00227	M00101	Cholesterol biosynthesis, FPP => cholesterol
K00227	M00102	Ergocalciferol biosynthesis, FPP => ergosterol/ergocalciferol
K00227	M00917	Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol
K00213	M00101	Cholesterol biosynthesis, FPP => cholesterol
K00213	M00917	Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol
K09827	M00102	Ergocalciferol biosynthesis, FPP => ergosterol/ergocalciferol
K00559	M00102	Ergocalciferol biosynthesis, FPP => ergosterol/ergocalciferol
K00559	M00917	Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol
K09831	M00102	Ergocalciferol biosynthesis, FPP => ergosterol/ergocalciferol
K00223	M00102	Ergocalciferol biosynthesis, FPP => ergosterol/ergocalciferol
K07419	M00103	Cholecalciferol biosynthesis
K07438	M00103	Cholecalciferol biosynthesis
K00489	M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate
K12408	M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate
K07431	M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate
K00251	M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate
K00037	M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate
K00037	M00977	C19-Steroid hormone biosynthesis (androgen backdoor pathway), pregnenolone => androsterone => dihydrotestosterone
K00488	M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate
K08748	M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate
K08748	M00106	Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate
K01796	M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate
K10214	M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate
K10214	M00862	beta-Oxidation, peroxisome, tri/dihydroxycholestanoyl-CoA => choloyl/chenodeoxycholoyl-CoA
K12405	M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate
K12405	M00861	beta-Oxidation, peroxisome, VLCFA
K12405	M00862	beta-Oxidation, peroxisome, tri/dihydroxycholestanoyl-CoA => choloyl/chenodeoxycholoyl-CoA
K08764	M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate
K08764	M00861	beta-Oxidation, peroxisome, VLCFA
K08764	M00862	beta-Oxidation, peroxisome, tri/dihydroxycholestanoyl-CoA => choloyl/chenodeoxycholoyl-CoA
K11992	M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate
K00659	M00106	Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate
K00498	M00107	Steroid hormone biosynthesis, cholesterol => pregnenolone => progesterone
K00070	M00107	Steroid hormone biosynthesis, cholesterol => pregnenolone => progesterone
K00070	M00110	C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone
K00070	M00976	C19-Steroid hormone biosynthesis, pregnenolone => testosterone => dihydrotestosterone
K00070	M00977	C19-Steroid hormone biosynthesis (androgen backdoor pathway), pregnenolone => androsterone => dihydrotestosterone
K00513	M00108	C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone
K00513	M00109	C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone
K00497	M00108	C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone
K00497	M00109	C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone
K07433	M00108	C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone
K07433	M00108	C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone
K00512	M00109	C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone
K00512	M00110	C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone
K00512	M00976	C19-Steroid hormone biosynthesis, pregnenolone => testosterone => dihydrotestosterone
K00512	M00977	C19-Steroid hormone biosynthesis (androgen backdoor pathway), pregnenolone => androsterone => dihydrotestosterone
K15680	M00109	C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone
K00071	M00109	C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone
K07434	M00110	C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone
K09833	M00112	Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol
K12502	M00112	Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol
K12502	M00933	Plastoquinone biosynthesis, homogentisate + solanesyl-PP => plastoquinol
K18534	M00112	Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol
K09834	M00112	Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol
K05928	M00112	Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol
K00454	M00113	Jasmonic acid biosynthesis
K01723	M00113	Jasmonic acid biosynthesis
K05894	M00113	Jasmonic acid biosynthesis
K10526	M00113	Jasmonic acid biosynthesis
K01809	M00114	Ascorbate biosynthesis, plants, fructose-6P => ascorbate
K17497	M00114	Ascorbate biosynthesis, plants, fructose-6P => ascorbate
K00966	M00114	Ascorbate biosynthesis, plants, fructose-6P => ascorbate
K10046	M00114	Ascorbate biosynthesis, plants, fructose-6P => ascorbate
K10047	M00114	Ascorbate biosynthesis, plants, fructose-6P => ascorbate
K17744	M00114	Ascorbate biosynthesis, plants, fructose-6P => ascorbate
K00225	M00114	Ascorbate biosynthesis, plants, fructose-6P => ascorbate
K00278	M00115	NAD biosynthesis, aspartate => quinolinate => NAD
K06989	M00115	NAD biosynthesis, aspartate => quinolinate => NAD
K03517	M00115	NAD biosynthesis, aspartate => quinolinate => NAD
K00767	M00115	NAD biosynthesis, aspartate => quinolinate => NAD
K00767	M00912	NAD biosynthesis, tryptophan => quinolinate => NAD
K00969	M00115	NAD biosynthesis, aspartate => quinolinate => NAD
K00969	M00912	NAD biosynthesis, tryptophan => quinolinate => NAD
K06210	M00115	NAD biosynthesis, aspartate => quinolinate => NAD
K06210	M00912	NAD biosynthesis, tryptophan => quinolinate => NAD
