PFAM	GO_term	GO	PFAM_description
PF00721	viral capsid	GO:0019028	TMV_coat
PF00722	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553	Glyco_hydro_16
PF00722	carbohydrate metabolic process	GO:0005975	Glyco_hydro_16
PF00724	FMN binding	GO:0010181	Oxidored_FMN
PF00724	oxidoreductase activity	GO:0016491	Oxidored_FMN
PF00725	oxidoreductase activity	GO:0016491	3HCDH
PF00725	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	GO:0016616	3HCDH
PF00725	fatty acid metabolic process	GO:0006631	3HCDH
PF00727	interleukin-4 receptor binding	GO:0005136	IL4
PF00727	growth factor activity	GO:0008083	IL4
PF00727	immune response	GO:0006955	IL4
PF00727	extracellular region	GO:0005576	IL4
PF00728	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553	Glyco_hydro_20
PF00728	carbohydrate metabolic process	GO:0005975	Glyco_hydro_20
PF00729	structural molecule activity	GO:0005198	Viral_coat
PF00729	viral capsid	GO:0019028	Viral_coat
PF00730	base-excision repair	GO:0006284	HhH-GPD
PF00731	'de novo' IMP biosynthetic process	GO:0006189	AIRC
PF00732	oxidoreductase activity, acting on CH-OH group of donors	GO:0016614	GMC_oxred_N
PF00732	flavin adenine dinucleotide binding	GO:0050660	GMC_oxred_N
PF00733	asparagine synthase (glutamine-hydrolyzing) activity	GO:0004066	Asn_synthase
PF00733	asparagine biosynthetic process	GO:0006529	Asn_synthase
PF00734	cellulose binding	GO:0030248	CBM_1
PF00734	carbohydrate metabolic process	GO:0005975	CBM_1
PF00734	extracellular region	GO:0005576	CBM_1
PF00735	GTP binding	GO:0005525	Septin
PF00736	translation elongation factor activity	GO:0003746	EF1_GNE
PF00736	translational elongation	GO:0006414	EF1_GNE
PF00737	phosphate ion binding	GO:0042301	PsbH
PF00737	photosynthesis	GO:0015979	PsbH
PF00737	protein stabilization	GO:0050821	PsbH
PF00737	photosystem II	GO:0009523	PsbH
PF00737	membrane	GO:0016020	PsbH
PF00738	structural molecule activity	GO:0005198	Polyhedrin
PF00739	viral genome replication	GO:0019079	X
PF00740	structural molecule activity	GO:0005198	Parvo_coat
PF00740	viral capsid	GO:0019028	Parvo_coat
PF00741	structural molecule activity	GO:0005198	Gas_vesicle
PF00741	vesicle membrane	GO:0012506	Gas_vesicle
PF00742	amino acid metabolic process	GO:0006520	Homoserine_dh
PF00743	N,N-dimethylaniline monooxygenase activity	GO:0004499	FMO-like
PF00743	flavin adenine dinucleotide binding	GO:0050660	FMO-like
PF00743	NADP binding	GO:0050661	FMO-like
PF00745	glutamyl-tRNA reductase activity	GO:0008883	GlutR_dimer
PF00745	NADP binding	GO:0050661	GlutR_dimer
PF00745	tetrapyrrole biosynthetic process	GO:0033014	GlutR_dimer
PF00747	single-stranded DNA binding	GO:0003697	Viral_DNA_bp
PF00747	DNA replication	GO:0006260	Viral_DNA_bp
PF00747	host cell nucleus	GO:0042025	Viral_DNA_bp
PF00749	aminoacyl-tRNA ligase activity	GO:0004812	tRNA-synt_1c
PF00749	ATP binding	GO:0005524	tRNA-synt_1c
PF00749	tRNA aminoacylation	GO:0043039	tRNA-synt_1c
PF00751	sequence-specific DNA binding	GO:0043565	DM
PF00751	regulation of DNA-templated transcription	GO:0006355	DM
PF00752	nuclease activity	GO:0004518	XPG_N
PF00758	hormone activity	GO:0005179	EPO_TPO
PF00758	extracellular region	GO:0005576	EPO_TPO
PF00759	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553	Glyco_hydro_9
PF00759	carbohydrate metabolic process	GO:0005975	Glyco_hydro_9
PF00761	structural molecule activity	GO:0005198	Polyoma_coat2
PF00761	viral capsid	GO:0019028	Polyoma_coat2
PF00762	ferrochelatase activity	GO:0004325	Ferrochelatase
PF00762	heme biosynthetic process	GO:0006783	Ferrochelatase
PF00763	methylenetetrahydrofolate dehydrogenase (NADP+) activity	GO:0004488	THF_DHG_CYH
PF00765	transferase activity	GO:0016740	Autoind_synth
PF00767	viral capsid	GO:0019028	Poty_coat
PF00768	serine-type D-Ala-D-Ala carboxypeptidase activity	GO:0009002	Peptidase_S11
PF00768	proteolysis	GO:0006508	Peptidase_S11
PF00770	cysteine-type endopeptidase activity	GO:0004197	Peptidase_C5
PF00770	proteolysis	GO:0006508	Peptidase_C5
PF00771	protein secretion	GO:0009306	FHIPEP
PF00771	membrane	GO:0016020	FHIPEP
PF00772	DNA helicase activity	GO:0003678	DnaB
PF00772	ATP binding	GO:0005524	DnaB
PF00772	DNA replication	GO:0006260	DnaB
PF00773	RNA binding	GO:0003723	RNB
PF00773	RNA nuclease activity	GO:0004540	RNB
PF00775	catalytic activity	GO:0003824	Dioxygenase_C
PF00775	ferric iron binding	GO:0008199	Dioxygenase_C
PF00775	cellular aromatic compound metabolic process	GO:0006725	Dioxygenase_C
PF00777	sialyltransferase activity	GO:0008373	Glyco_transf_29
PF00777	protein glycosylation	GO:0006486	Glyco_transf_29
PF00779	intracellular signal transduction	GO:0035556	BTK
PF00781	kinase activity	GO:0016301	DAGK_cat
PF00782	dephosphorylation	GO:0016311	DSPc
PF00784	cytoskeleton	GO:0005856	MyTH4
PF00787	phosphatidylinositol binding	GO:0035091	PX
PF00788	signal transduction	GO:0007165	RA
PF00789	protein binding	GO:0005515	UBX
PF00790	phosphatidylinositol binding	GO:0035091	VHS
PF00790	ubiquitin binding	GO:0043130	VHS
PF00793	biosynthetic process	GO:0009058	DAHP_synth_1
PF00795	nitrogen compound metabolic process	GO:0006807	CN_hydrolase
PF00796	photosynthesis	GO:0015979	PSI_8
PF00796	photosystem I	GO:0009522	PSI_8
PF00797	acetyltransferase activity	GO:0016407	Acetyltransf_2
PF00798	viral envelope	GO:0019031	Arena_glycoprot
PF00799	DNA replication	GO:0006260	Gemini_AL1
PF00800	prephenate dehydratase activity	GO:0004664	PDT
PF00800	L-phenylalanine biosynthetic process	GO:0009094	PDT
PF00802	virion membrane	GO:0055036	Glycoprotein_G
PF00803	transport of virus in host, cell to cell	GO:0046740	3A
PF00804	membrane	GO:0016020	Syntaxin
PF00806	RNA binding	GO:0003723	PUF
PF00809	pteridine-containing compound metabolic process	GO:0042558	Pterin_bind
PF00810	ER retention sequence binding	GO:0046923	ER_lumen_recept
PF00810	protein retention in ER lumen	GO:0006621	ER_lumen_recept
PF00810	membrane	GO:0016020	ER_lumen_recept
PF00811	calcium ion binding	GO:0005509	Ependymin
PF00811	cell-matrix adhesion	GO:0007160	Ependymin
PF00811	extracellular region	GO:0005576	Ependymin
PF00812	membrane	GO:0016020	Ephrin
PF00813	protein secretion	GO:0009306	FliP
PF00813	membrane	GO:0016020	FliP
PF00815	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	GO:0016616	Histidinol_dh
PF00815	metal ion binding	GO:0046872	Histidinol_dh
PF00815	NAD binding	GO:0051287	Histidinol_dh
PF00816	DNA binding	GO:0003677	Histone_HNS
PF00816	structural constituent of chromatin	GO:0030527	Histone_HNS
PF00816	regulation of DNA-templated transcription	GO:0006355	Histone_HNS
PF00817	DNA repair	GO:0006281	IMS
PF00818	cell outer membrane	GO:0009279	Ice_nucleation
PF00819	envenomation resulting in occlusion of the pore of voltage-gated potassium channel in another organism	GO:0044564	Myotoxins
PF00820	cell outer membrane	GO:0009279	Lipoprotein_1
PF00821	phosphoenolpyruvate carboxykinase activity	GO:0004611	PEPCK_GTP
PF00821	gluconeogenesis	GO:0006094	PEPCK_GTP
PF00822	membrane	GO:0016020	PMP22_Claudin
PF00825	tRNA binding	GO:0000049	Ribonuclease_P
PF00825	ribonuclease P activity	GO:0004526	Ribonuclease_P
PF00825	tRNA processing	GO:0008033	Ribonuclease_P
PF00827	structural constituent of ribosome	GO:0003735	Ribosomal_L15e
PF00827	translation	GO:0006412	Ribosomal_L15e
PF00827	ribosome	GO:0005840	Ribosomal_L15e
PF00829	ribosome	GO:0005840	Ribosomal_L21p
PF00830	structural constituent of ribosome	GO:0003735	Ribosomal_L28
PF00831	structural constituent of ribosome	GO:0003735	Ribosomal_L29
PF00831	translation	GO:0006412	Ribosomal_L29
PF00831	ribosome	GO:0005840	Ribosomal_L29
PF00832	structural constituent of ribosome	GO:0003735	Ribosomal_L39
PF00832	translation	GO:0006412	Ribosomal_L39
PF00832	ribosome	GO:0005840	Ribosomal_L39
PF00833	structural constituent of ribosome	GO:0003735	Ribosomal_S17e
PF00833	translation	GO:0006412	Ribosomal_S17e
PF00833	ribosome	GO:0005840	Ribosomal_S17e
PF00834	racemase and epimerase activity, acting on carbohydrates and derivatives	GO:0016857	Ribul_P_3_epim
PF00834	carbohydrate metabolic process	GO:0005975	Ribul_P_3_epim
PF00836	regulation of microtubule polymerization or depolymerization	GO:0031110	Stathmin
PF00837	thyroxine 5'-deiodinase activity	GO:0004800	T4_deiodinase
PF00839	membrane	GO:0016020	Cys_rich_FGFR
PF00840	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553	Glyco_hydro_7
PF00840	carbohydrate metabolic process	GO:0005975	Glyco_hydro_7
PF00841	DNA binding	GO:0003677	Protamine_P2
PF00841	spermatid development	GO:0007286	Protamine_P2
PF00841	chromosome organization	GO:0051276	Protamine_P2
PF00844	structural molecule activity	GO:0005198	Gemini_coat
PF00844	viral capsid	GO:0019028	Gemini_coat
PF00845	DNA binding	GO:0003677	Gemini_BL1
PF00845	transport of virus in host, cell to cell	GO:0046740	Gemini_BL1
PF00845	host cell membrane	GO:0033644	Gemini_BL1
PF00846	viral nucleocapsid	GO:0019013	Hanta_nucleocap
PF00847	DNA-binding transcription factor activity	GO:0003700	AP2
PF00847	regulation of DNA-templated transcription	GO:0006355	AP2
PF00848	iron ion binding	GO:0005506	Ring_hydroxyl_A
PF00848	2 iron, 2 sulfur cluster binding	GO:0051537	Ring_hydroxyl_A
PF00848	cellular metabolic process	GO:0044237	Ring_hydroxyl_A
PF00849	RNA binding	GO:0003723	PseudoU_synth_2
PF00849	pseudouridine synthase activity	GO:0009982	PseudoU_synth_2
PF00849	pseudouridine synthesis	GO:0001522	PseudoU_synth_2
PF00849	RNA modification	GO:0009451	PseudoU_synth_2
PF00851	cysteine-type endopeptidase activity	GO:0004197	Peptidase_C6
PF00851	proteolysis	GO:0006508	Peptidase_C6
PF00852	fucosyltransferase activity	GO:0008417	Glyco_transf_10
PF00852	protein glycosylation	GO:0006486	Glyco_transf_10
PF00852	membrane	GO:0016020	Glyco_transf_10
PF00853	DNA binding	GO:0003677	Runt
PF00853	DNA-binding transcription factor activity	GO:0003700	Runt
PF00853	regulation of DNA-templated transcription	GO:0006355	Runt
PF00854	transmembrane transporter activity	GO:0022857	PTR2
PF00854	transmembrane transport	GO:0055085	PTR2
PF00854	membrane	GO:0016020	PTR2
PF00856	protein binding	GO:0005515	SET
PF00858	sodium channel activity	GO:0005272	ASC
PF00858	sodium ion transport	GO:0006814	ASC
PF00858	membrane	GO:0016020	ASC
PF00859	DNA-binding transcription factor activity	GO:0003700	CTF_NFI
PF00859	regulation of DNA-templated transcription	GO:0006355	CTF_NFI
PF00859	nucleus	GO:0005634	CTF_NFI
PF00860	transmembrane transporter activity	GO:0022857	Xan_ur_permease
PF00860	transmembrane transport	GO:0055085	Xan_ur_permease
PF00860	membrane	GO:0016020	Xan_ur_permease
PF00861	structural constituent of ribosome	GO:0003735	Ribosomal_L18p
PF00861	translation	GO:0006412	Ribosomal_L18p
PF00861	ribosome	GO:0005840	Ribosomal_L18p
PF00862	sucrose synthase activity	GO:0016157	Sucrose_synth
PF00862	sucrose metabolic process	GO:0005985	Sucrose_synth
PF00863	cysteine-type peptidase activity	GO:0008234	Peptidase_C4
PF00863	proteolysis	GO:0006508	Peptidase_C4
PF00865	ossification	GO:0001503	Osteopontin
PF00865	cell adhesion	GO:0007155	Osteopontin
PF00866	cellular aromatic compound metabolic process	GO:0006725	Ring_hydroxyl_B
PF00867	nuclease activity	GO:0004518	XPG_I
PF00868	peptide cross-linking	GO:0018149	Transglut_N
PF00869	protein dimerization activity	GO:0046983	Flavi_glycoprot
PF00870	transcription cis-regulatory region binding	GO:0000976	P53
PF00871	kinase activity	GO:0016301	Acetate_kinase
PF00871	phosphotransferase activity, carboxyl group as acceptor	GO:0016774	Acetate_kinase
PF00871	phosphorylation	GO:0016310	Acetate_kinase
PF00872	DNA binding	GO:0003677	Transposase_mut
PF00872	transposase activity	GO:0004803	Transposase_mut
PF00872	DNA transposition	GO:0006313	Transposase_mut
PF00873	transmembrane transporter activity	GO:0022857	ACR_tran
PF00873	transmembrane transport	GO:0055085	ACR_tran
PF00873	membrane	GO:0016020	ACR_tran
PF00874	regulation of DNA-templated transcription	GO:0006355	PRD
PF00878	mannose binding	GO:0005537	CIMR
PF00878	signaling receptor activity	GO:0038023	CIMR
PF00878	lysosomal transport	GO:0007041	CIMR
PF00879	defense response	GO:0006952	Defensin_propep
PF00883	metal ion binding	GO:0046872	Peptidase_M17
PF00883	metalloaminopeptidase activity	GO:0070006	Peptidase_M17
PF00883	proteolysis	GO:0006508	Peptidase_M17
PF00885	riboflavin biosynthetic process	GO:0009231	DMRL_synthase
PF00885	riboflavin synthase complex	GO:0009349	DMRL_synthase
PF00886	structural constituent of ribosome	GO:0003735	Ribosomal_S16
PF00886	translation	GO:0006412	Ribosomal_S16
PF00886	ribosome	GO:0005840	Ribosomal_S16
PF00887	fatty-acyl-CoA binding	GO:0000062	ACBP
PF00888	ubiquitin protein ligase binding	GO:0031625	Cullin
PF00888	ubiquitin-dependent protein catabolic process	GO:0006511	Cullin
PF00889	translation elongation factor activity	GO:0003746	EF_TS
PF00889	translational elongation	GO:0006414	EF_TS
PF00891	O-methyltransferase activity	GO:0008171	Methyltransf_2
PF00892	membrane	GO:0016020	EamA
PF00893	transmembrane transporter activity	GO:0022857	Multi_Drug_Res
PF00893	plasma membrane	GO:0005886	Multi_Drug_Res
PF00894	structural molecule activity	GO:0005198	Luteo_coat
PF00894	viral capsid	GO:0019028	Luteo_coat
PF00895	proton transmembrane transporter activity	GO:0015078	ATP-synt_8
PF00895	proton motive force-driven ATP synthesis	GO:0015986	ATP-synt_8
PF00895	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	GO:0000276	ATP-synt_8
PF00897	structural molecule activity	GO:0005198	Orbi_VP7
PF00897	viral capsid	GO:0019028	Orbi_VP7
PF00898	structural molecule activity	GO:0005198	Orbi_VP2
PF00901	structural molecule activity	GO:0005198	Orbi_VP5
PF00901	viral capsid	GO:0019028	Orbi_VP5
PF00902	membrane	GO:0016020	TatC
PF00904	keratinization	GO:0031424	Involucrin
PF00904	cytoplasm	GO:0005737	Involucrin
PF00905	penicillin binding	GO:0008658	Transpeptidase
PF00906	structural molecule activity	GO:0005198	Hepatitis_core
PF00907	DNA-binding transcription factor activity	GO:0003700	T-box
PF00907	positive regulation of DNA-templated transcription	GO:0045893	T-box
PF00908	dTDP-4-dehydrorhamnose 3,5-epimerase activity	GO:0008830	dTDP_sugar_isom
PF00909	ammonium transmembrane transporter activity	GO:0008519	Ammonium_transp
PF00909	ammonium transmembrane transport	GO:0072488	Ammonium_transp
PF00909	membrane	GO:0016020	Ammonium_transp
PF00910	RNA binding	GO:0003723	RNA_helicase
PF00910	RNA helicase activity	GO:0003724	RNA_helicase
PF00913	evasion of host immune response	GO:0042783	Trypan_glycop
PF00916	membrane	GO:0016020	Sulfate_transp
PF00917	protein binding	GO:0005515	MATH
PF00918	hormone activity	GO:0005179	Gastrin
PF00918	extracellular region	GO:0005576	Gastrin
PF00919	methylthiotransferase activity	GO:0035596	UPF0004
PF00919	4 iron, 4 sulfur cluster binding	GO:0051539	UPF0004
PF00920	hydro-lyase activity	GO:0016836	ILVD_EDD
PF00921	membrane	GO:0016020	Lipoprotein_2
PF00923	carbohydrate metabolic process	GO:0005975	TAL_FSA
PF00924	transmembrane transport	GO:0055085	MS_channel_2nd
PF00924	membrane	GO:0016020	MS_channel_2nd
PF00926	3,4-dihydroxy-2-butanone-4-phosphate synthase activity	GO:0008686	DHBP_synthase
PF00926	riboflavin biosynthetic process	GO:0009231	DHBP_synthase
PF00927	protein-glutamine gamma-glutamyltransferase activity	GO:0003810	Transglut_C
PF00927	peptide cross-linking	GO:0018149	Transglut_C
PF00930	proteolysis	GO:0006508	DPPIV_N
PF00931	ADP binding	GO:0043531	NB-ARC
PF00933	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553	Glyco_hydro_3
PF00933	carbohydrate metabolic process	GO:0005975	Glyco_hydro_3
PF00935	structural constituent of ribosome	GO:0003735	Ribosomal_L44
PF00935	translation	GO:0006412	Ribosomal_L44
PF00935	ribosome	GO:0005840	Ribosomal_L44
PF00936	bacterial microcompartment	GO:0031469	BMC
PF00937	RNA binding	GO:0003723	CoV_nucleocap
PF00937	viral nucleocapsid	GO:0019013	CoV_nucleocap
PF00939	transmembrane transporter activity	GO:0022857	Na_sulph_symp
PF00939	transmembrane transport	GO:0055085	Na_sulph_symp
PF00939	membrane	GO:0016020	Na_sulph_symp
PF00941	oxidoreductase activity	GO:0016491	FAD_binding_5
PF00942	cellulose binding	GO:0030248	CBM_3
PF00942	carbohydrate metabolic process	GO:0005975	CBM_3
PF00943	structural molecule activity	GO:0005198	Alpha_E2_glycop
PF00943	viral capsid	GO:0019028	Alpha_E2_glycop
PF00944	serine-type endopeptidase activity	GO:0004252	Peptidase_S3
PF00944	proteolysis	GO:0006508	Peptidase_S3
PF00946	RNA-dependent RNA polymerase activity	GO:0003968	Mononeg_RNA_pol
PF00946	mRNA 5'-cap (guanine-N7-)-methyltransferase activity	GO:0004482	Mononeg_RNA_pol
PF00946	ATP binding	GO:0005524	Mononeg_RNA_pol
PF00946	7-methylguanosine mRNA capping	GO:0006370	Mononeg_RNA_pol
PF00947	peptidase activity	GO:0008233	Pico_P2A
PF00947	proteolysis	GO:0006508	Pico_P2A
PF00947	viral process	GO:0016032	Pico_P2A
PF00949	RNA binding	GO:0003723	Peptidase_S7
PF00949	RNA helicase activity	GO:0003724	Peptidase_S7
PF00949	ATP binding	GO:0005524	Peptidase_S7
PF00950	transmembrane transport	GO:0055085	ABC-3
PF00950	plasma membrane	GO:0005886	ABC-3
PF00950	ATP-binding cassette (ABC) transporter complex	GO:0043190	ABC-3
PF00951	viral envelope	GO:0019031	Arteri_Gl
PF00952	viral nucleocapsid	GO:0019013	Bunya_nucleocap
PF00953	phosphotransferase activity, for other substituted phosphate groups	GO:0016780	Glycos_transf_4
PF00953	membrane	GO:0016020	Glycos_transf_4
PF00954	recognition of pollen	GO:0048544	S_locus_glycop
PF00955	monoatomic anion transport	GO:0006820	HCO3_cotransp
PF00955	membrane	GO:0016020	HCO3_cotransp
PF00956	nucleosome assembly	GO:0006334	NAP
PF00956	nucleus	GO:0005634	NAP
PF00958	GMP synthase (glutamine-hydrolyzing) activity	GO:0003922	GMP_synt_C
PF00958	ATP binding	GO:0005524	GMP_synt_C
PF00958	purine nucleotide biosynthetic process	GO:0006164	GMP_synt_C
PF00958	GMP biosynthetic process	GO:0006177	GMP_synt_C
PF00959	lysozyme activity	GO:0003796	Phage_lysozyme
PF00959	peptidoglycan catabolic process	GO:0009253	Phage_lysozyme
PF00959	cell wall macromolecule catabolic process	GO:0016998	Phage_lysozyme
PF00960	DNA binding	GO:0003677	Neocarzinostat
PF00960	defense response	GO:0006952	Neocarzinostat
PF00961	endonuclease activity	GO:0004519	LAGLIDADG_1
PF00962	deaminase activity	GO:0019239	A_deaminase
PF00963	carbohydrate binding	GO:0030246	Cohesin
PF00963	polysaccharide catabolic process	GO:0000272	Cohesin
PF00964	extracellular region	GO:0005576	Elicitin
PF00965	metalloendopeptidase inhibitor activity	GO:0008191	TIMP
PF00967	defense response to bacterium	GO:0042742	Barwin
PF00967	defense response to fungus	GO:0050832	Barwin
PF00969	immune response	GO:0006955	MHC_II_beta
PF00969	antigen processing and presentation	GO:0019882	MHC_II_beta
PF00969	membrane	GO:0016020	MHC_II_beta
PF00969	MHC class II protein complex	GO:0042613	MHC_II_beta
PF00971	structural molecule activity	GO:0005198	EIAV_GP90
PF00971	viral envelope	GO:0019031	EIAV_GP90
PF00972	RNA-dependent RNA polymerase activity	GO:0003968	Flavi_NS5
PF00972	ATP binding	GO:0005524	Flavi_NS5
PF00973	structural molecule activity	GO:0005198	Paramyxo_ncap
PF00973	viral nucleocapsid	GO:0019013	Paramyxo_ncap
PF00974	viral envelope	GO:0019031	Rhabdo_glycop
PF00975	biosynthetic process	GO:0009058	Thioesterase
PF00977	histidine biosynthetic process	GO:0000105	His_biosynth
PF00978	RNA binding	GO:0003723	RdRP_2
PF00978	RNA-dependent RNA polymerase activity	GO:0003968	RdRP_2
PF00978	DNA-templated transcription	GO:0006351	RdRP_2
PF00979	structural molecule activity	GO:0005198	Reovirus_cap
PF00979	viral life cycle	GO:0019058	Reovirus_cap
PF00980	structural molecule activity	GO:0005198	Rota_Capsid_VP6
PF00980	viral capsid	GO:0019028	Rota_Capsid_VP6
PF00981	RNA binding	GO:0003723	Rota_NS53
PF00982	catalytic activity	GO:0003824	Glyco_transf_20
PF00982	trehalose biosynthetic process	GO:0005992	Glyco_transf_20
PF00983	structural molecule activity	GO:0005198	Tymo_coat
PF00983	viral capsid	GO:0019028	Tymo_coat
PF00984	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	GO:0016616	UDPG_MGDP_dh
PF00984	NAD binding	GO:0051287	UDPG_MGDP_dh
PF00985	cell adhesion	GO:0007155	MSA_2
PF00985	membrane	GO:0016020	MSA_2
PF00986	DNA binding	GO:0003677	DNA_gyraseB_C
PF00986	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	GO:0003918	DNA_gyraseB_C
PF00986	ATP binding	GO:0005524	DNA_gyraseB_C
PF00986	DNA topological change	GO:0006265	DNA_gyraseB_C
PF00989	regulation of DNA-templated transcription	GO:0006355	PAS
PF00992	troponin complex	GO:0005861	Troponin
PF00993	immune response	GO:0006955	MHC_II_alpha
PF00993	antigen processing and presentation	GO:0019882	MHC_II_alpha
PF00993	membrane	GO:0016020	MHC_II_alpha
PF00993	MHC class II protein complex	GO:0042613	MHC_II_alpha
PF00995	vesicle-mediated transport	GO:0016192	Sec1
PF00996	GDP-dissociation inhibitor activity	GO:0005092	GDI
PF00996	small GTPase-mediated signal transduction	GO:0007264	GDI
PF00997	extracellular region	GO:0005576	Casein_kappa
PF00998	RNA binding	GO:0003723	RdRP_3
PF00998	RNA-dependent RNA polymerase activity	GO:0003968	RdRP_3
PF00998	viral RNA genome replication	GO:0039694	RdRP_3
PF00999	antiporter activity	GO:0015297	Na_H_Exchanger
PF00999	monoatomic cation transport	GO:0006812	Na_H_Exchanger
PF00999	transmembrane transport	GO:0055085	Na_H_Exchanger
PF00999	proton transmembrane transport	GO:1902600	Na_H_Exchanger
PF00999	membrane	GO:0016020	Na_H_Exchanger
PF01000	DNA-directed 5'-3' RNA polymerase activity	GO:0003899	RNA_pol_A_bac
PF01000	protein dimerization activity	GO:0046983	RNA_pol_A_bac
PF01000	DNA-templated transcription	GO:0006351	RNA_pol_A_bac
PF01001	RNA-dependent RNA polymerase activity	GO:0003968	HCV_NS4b
PF01001	cysteine-type endopeptidase activity	GO:0004197	HCV_NS4b
PF01001	serine-type endopeptidase activity	GO:0004252	HCV_NS4b
PF01001	ribonucleoside triphosphate phosphatase activity	GO:0017111	HCV_NS4b
PF01002	serine-type endopeptidase activity	GO:0004252	Flavi_NS2B
PF01002	virion component	GO:0044423	Flavi_NS2B
PF01003	structural molecule activity	GO:0005198	Flavi_capsid
PF01003	viral capsid	GO:0019028	Flavi_capsid
PF01004	viral life cycle	GO:0019058	Flavi_M
PF01005	double-stranded RNA binding	GO:0003725	Flavi_NS2A
PF01006	viral process	GO:0016032	HCV_NS4a
PF01006	virion component	GO:0044423	HCV_NS4a
PF01008	cellular metabolic process	GO:0044237	IF-2B
PF01015	structural constituent of ribosome	GO:0003735	Ribosomal_S3Ae
PF01015	translation	GO:0006412	Ribosomal_S3Ae
PF01015	ribosome	GO:0005840	Ribosomal_S3Ae
PF01016	structural constituent of ribosome	GO:0003735	Ribosomal_L27
PF01016	translation	GO:0006412	Ribosomal_L27
PF01016	ribosome	GO:0005840	Ribosomal_L27
PF01017	regulation of DNA-templated transcription	GO:0006355	STAT_alpha
PF01017	signal transduction	GO:0007165	STAT_alpha
PF01020	structural constituent of ribosome	GO:0003735	Ribosomal_L40e
PF01020	translation	GO:0006412	Ribosomal_L40e
PF01020	ribosome	GO:0005840	Ribosomal_L40e
PF01021	RNA binding	GO:0003723	TYA
PF01021	cytoplasm	GO:0005737	TYA
PF01022	DNA-binding transcription factor activity	GO:0003700	HTH_5
PF01022	regulation of DNA-templated transcription	GO:0006355	HTH_5
PF01024	pore-forming activity	GO:0140911	Colicin
PF01024	killing of cells of another organism	GO:0031640	Colicin
PF01024	defense response to Gram-negative bacterium	GO:0050829	Colicin
PF01024	membrane	GO:0016020	Colicin
PF01025	adenyl-nucleotide exchange factor activity	GO:0000774	GrpE
PF01025	protein homodimerization activity	GO:0042803	GrpE
PF01025	protein-folding chaperone binding	GO:0051087	GrpE
PF01025	protein folding	GO:0006457	GrpE
PF01026	hydrolase activity, acting on ester bonds	GO:0016788	TatD_DNase
PF01028	DNA binding	GO:0003677	Topoisom_I
PF01028	DNA topoisomerase type I (single strand cut, ATP-independent) activity	GO:0003917	Topoisom_I
PF01028	DNA topological change	GO:0006265	Topoisom_I
PF01029	RNA binding	GO:0003723	NusB
PF01029	regulation of DNA-templated transcription	GO:0006355	NusB
PF01032	transmembrane transporter activity	GO:0022857	FecCD
PF01032	membrane	GO:0016020	FecCD
PF01035	catalytic activity	GO:0003824	DNA_binding_1
PF01035	DNA repair	GO:0006281	DNA_binding_1
PF01036	membrane	GO:0016020	Bac_rhodopsin
PF01040	transferase activity, transferring alkyl or aryl (other than methyl) groups	GO:0016765	UbiA
PF01040	membrane	GO:0016020	UbiA
PF01043	protein import	GO:0017038	SecA_PP_bind
PF01043	membrane	GO:0016020	SecA_PP_bind
PF01044	actin filament binding	GO:0051015	Vinculin
PF01044	cell adhesion	GO:0007155	Vinculin
PF01047	DNA-binding transcription factor activity	GO:0003700	MarR
PF01047	regulation of DNA-templated transcription	GO:0006355	MarR
PF01048	catalytic activity	GO:0003824	PNP_UDP_1
PF01048	nucleoside metabolic process	GO:0009116	PNP_UDP_1
PF01049	calcium ion binding	GO:0005509	CADH_Y-type_LIR
PF01049	homophilic cell adhesion via plasma membrane adhesion molecules	GO:0007156	CADH_Y-type_LIR
PF01050	nucleotidyltransferase activity	GO:0016779	MannoseP_isomer
PF01050	polysaccharide metabolic process	GO:0005976	MannoseP_isomer
PF01051	DNA-directed DNA polymerase activity	GO:0003887	Rep3_N
PF01051	DNA replication initiation	GO:0006270	Rep3_N
PF01053	pyridoxal phosphate binding	GO:0030170	Cys_Met_Meta_PP
PF01053	transsulfuration	GO:0019346	Cys_Met_Meta_PP
PF01055	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553	Glyco_hydro_31_2nd
PF01055	carbohydrate metabolic process	GO:0005975	Glyco_hydro_31_2nd
PF01056	DNA-binding transcription factor activity	GO:0003700	Myc_N
PF01056	regulation of DNA-templated transcription	GO:0006355	Myc_N
PF01057	viral genome replication	GO:0019079	Parvo_NS1
PF01058	iron-sulfur cluster binding	GO:0051536	Oxidored_q6
PF01060	cell surface	GO:0009986	TTR-52
PF01061	ABC-type transporter activity	GO:0140359	ABC2_membrane
PF01061	membrane	GO:0016020	ABC2_membrane
PF01062	chloride channel activity	GO:0005254	Bestrophin
PF01063	catalytic activity	GO:0003824	Aminotran_4
